X	Y	Z
5545231.555	7421867.421	177.68875352400002
5545231.911	7421866.312000001	176.6197178288
5545232.392000001	7421865.145	171.80752552400003
5545232.748	7421863.995	170.6387563048
5545233.074	7421862.826	170.344461524
5545233.462	7421861.657000001	169.6676486096
5545233.757999999	7421860.467999999	169.4671692192
5545234.052	7421859.3379999995	169.512789524
5545234.285	7421858.207	169.6239206096
5545234.61	7421857.137	169.638964
5545234.872	7421856.086	169.50349999999997
5545235.227000001	7421855.096	169.5488178288
5545235.58	7421854.166	169.3164206096
5545235.902000001	7421853.275	169.23078182880002
5545236.1620000005	7421852.4229999995	169.0187741336
5545236.575	7421851.592999999	168.880061524
5545236.989	7421850.762999999	169.0069818288
5545237.527000001	7421849.915	169.2402741336
5545238.066000001	7421848.988	169.4801692192
5545238.512999999	7421848.018999999	170.18451013359999
5545238.899	7421846.95	170.6020283048
5545239.1	7421845.878	171.4258409144
5545239.146000001	7421844.824	171.57988460960001
5545239.036	7421843.887	171.8206769144
5545238.768999999	7421843.127	172.0272518096
5545238.409	7421842.425	172.2102004192
5545237.892000001	7421841.82	172.2580081144
5545237.376	7421841.2360000005	172.3583465904
5545236.828	7421840.631	172.4062672
5545236.248	7421840.143999999	172.52558502879998
5545235.728999999	7421839.699	172.57201089519998
5545235.21	7421839.274	172.63222350479998
5545234.69	7421838.927999999	172.67379550479998
5545234.171	7421838.502	172.961956724
5545233.651000001	7421838.116	173.1005108952
5545233.131	7421837.79	173.2442672
5545232.5479999995	7421837.4629999995	173.251856724
5545231.933999999	7421837.2360000005	173.088320724
5545231.256	7421837.086	172.9673518096
5545230.517999999	7421836.837	172.7191721144
5545229.747	7421836.706	172.6575518096
5545228.886	7421836.455	172.7142644192
5545228.055	7421836.223999999	172.6889850288
5545227.132	7421835.951	172.6767388952
5545226.241	7421835.6	172.57910811440001
5545225.319	7421835.248	172.5912441144
5545224.367000001	7421834.856000001	172.6795388952
5545223.446	7421834.405	172.73565672400002
5545222.495	7421833.972999999	172.7336955048
5545221.574	7421833.522000001	172.6997721144
5545220.561000001	7421833.069	172.8803518096
5545219.579	7421832.637	172.91122872399998
5545218.506	7421832.063999999	172.9492721144
5545217.399	7421831.67	172.6454518096
5545216.199	7421831.294	172.80135672400002
5545215.09	7421831.079	173.27974411440002
5545213.977999999	7421831.082	173.5823955048
5545212.956	7421831.227000001	174.0364108952
5545211.932	7421831.51	174.0284518096
5545211.061000001	7421831.935	174.11320041919998
5545210.219	7421832.401000001	173.82858502879998
5545209.377	7421832.946	173.4639672
5545208.626	7421833.592	173.1755595048
5545207.844	7421834.257	172.83533889519998
5545207.123	7421834.9629999995	172.6137850288
5545206.494	7421835.73	172.34190811439998
5545205.802999999	7421836.476	172.1801081144
5545205.266	7421837.284	171.991028724
5545204.636	7421838.091	171.983592724
5545204.13	7421838.899	171.87472072399999
5545203.592	7421839.747	171.74313321920002
5545203.055	7421840.536	171.472861524
5545202.579	7421841.404	171.3041741336
5545202.103999999	7421842.2129999995	170.95034582879998
5545201.628	7421843.082	170.6773332192
5545201.152000001	7421843.911	170.1672126096
5545200.737000001	7421844.821	169.92258182880002
5545200.291	7421845.728999999	169.534489524
5545200.0	7421846.661	169.29354091439998
5545199.584	7421847.59	168.94167413359997
5545199.261	7421848.58	168.8110101336
5545198.876	7421849.55	168.7102332192
5545198.552	7421850.54	168.652561524
5545198.26	7421851.531	168.5653126096
5545197.844	7421852.48	168.5061101336
5545197.521000001	7421853.451	168.44799721919998
5545197.0139999995	7421854.299	168.4823769144
5545196.538	7421855.147999999	168.517064
5545196.002	7421855.936000001	168.5767126096
5545195.496	7421856.685	168.612189524
5545195.052999999	7421857.415	168.6604178288
5545194.641	7421858.126	168.7576972192
5545194.26	7421858.797	169.07999721919998
5545193.911	7421859.448	169.6474178288
5545193.562000001	7421860.1	169.751253524
5545193.244	7421860.712	169.82674582880003
5545192.895	7421861.304	169.95771260959998
5545192.547	7421861.837	170.264653524
5545192.076	7421862.347	170.6428178288
5545191.575	7421862.837	171.0830206096
5545191.103999999	7421863.328	171.102053524
5545190.634	7421863.799	171.3105206096
5545190.225	7421864.29	171.4043101336
5545189.847999999	7421864.743	171.7628283048
5545189.532000001	7421865.216	172.03871580959998
5545189.216	7421865.649	172.1445875048
5545188.87	7421866.082	171.9258312
5545188.555	7421866.515	171.8667563048
5545188.239	7421866.948	171.87932072400002
5545187.924	7421867.362000001	172.28365672400002
5545187.609	7421867.795	172.34671089519998
5545187.418	7421868.17	172.53359272400002
5545187.289	7421868.586	172.8329441144
5545187.128	7421868.982000001	173.1993595048
5545186.999	7421869.3379999995	173.3991748952
5545186.871	7421869.655	173.8191955048
5545186.743	7421869.951	174.10740320000002
5545186.615	7421870.248	174.459328724
5545186.55	7421870.4860000005	174.6146721144
5545186.485	7421870.744	174.9455032
5545186.419	7421870.982000001	175.17828739040002
5545186.323	7421871.199	175.41612308560002
5545186.257999999	7421871.417	175.3116
5545186.163	7421871.635	175.27891260959998
5545186.097999999	7421871.852999999	175.2952563048
5545186.033	7421872.051	175.5044206096
5545185.937000001	7421872.248	175.7784436952
5545185.842	7421872.446	176.2615769144
5545185.746	7421872.663	176.3735436952
5545185.651000001	7421872.841	176.6121950856
5545185.555	7421873.039	176.6386716952
5545185.491	7421873.217	176.93027939040002
5545185.427	7421873.335	177.0135793904
5545185.364	7421873.433999999	177.13315139040003
5545185.3	7421873.552999999	177.1067667808
5545185.238	7421873.6110000005	176.9667076952
5545185.175	7421873.67	177.0976716952
5545185.082	7421873.688999999	177.2686590856
5545184.989	7421873.707	177.5000076952
5545184.865	7421873.705	177.6455126096
5545184.772999999	7421873.704	177.7135206096
5545184.649	7421873.7020000005	177.7588923048
5545184.556	7421873.721	177.7858206096
5545184.432999999	7421873.719	177.6766923048
5545184.371	7421873.717999999	177.70647169519998
5545184.308999999	7421873.717	177.6210283048
5545184.248	7421873.696	177.70052308560003
5545184.248	7421873.696	177.7574950856
5545184.248	7421873.696	177.8322923048
5545184.247	7421873.716	177.84493600000002
5545184.278	7421873.757	177.8709716952
5545184.307999999	7421873.797	177.8160513904
5545184.3379999995	7421873.837	177.8161
5545184.368	7421873.897000001	177.7807283048
5545184.367000001	7421873.957	177.7941667808
