	X	Y	H
2015_1492	5545062.9644	7421908.552	173.12317489519998
2015_1493	5545064.267	7421908.5121	173.62564411440002
2015_1494	5545065.5041	7421908.456	173.8435465904
2015_1495	5545066.7891	7421908.5084	173.6756158096
2015_1496	5545068.0213	7421908.5919	174.12098502880002
2015_1497	5545069.2722	7421908.7088	174.63182830480002
2015_1498	5545070.4901	7421908.9662	175.01987691440002
2015_1499	5545071.7108	7421909.2113	175.4248076952
2015_1500	5545072.7829	7421909.6717	174.9527206096
2015_1501	5545073.8391	7421910.1249	174.5207076952
2015_1502	5545074.7704	7421910.7412	173.9670465904
2015_1503	5545075.6933	7421911.342	173.577692724
2015_1504	5545076.5733	7421912.0201	172.96590319999999
2015_1505	5545077.3948	7421912.713	172.21073641919997
2015_1506	5545078.2351	7421913.4477	171.7888850288
2015_1507	5545079.017	7421914.2098	171.22267413359998
2015_1508	5545079.86	7421914.9216	171.1040178288
2015_1509	5545080.6017	7421915.7282	171.040953524
2015_1510	5545081.4588	7421916.4337	170.89511013359999
2015_1511	5545082.1225	7421917.3037	170.663264
2015_1512	5545082.8851	7421918.0899	170.6680206096
2015_1513	5545083.5385	7421918.939	170.50327691439998
2015_1514	5545084.2934	7421919.8379	170.65484582879998
2015_1515	5545085.0055	7421920.6552	170.009861524
2015_1516	5545085.7465	7421921.5993	169.8443381336
2015_1517	5545086.5243	7421922.4276	169.8965923048
2015_1518	5545087.3068	7421923.3492	170.06163813359998
2015_1519	5545088.1866	7421924.15	170.17395630480002
2015_1520	5545089.0456	7421924.968	170.3176178288
2015_1521	5545090.0353	7421925.7179	170.4327381336
2015_1522	5545091.0361	7421926.4084	170.4181972192
2015_1523	5545092.0665	7421927.0763	170.3927563048
2015_1524	5545093.1907	7421927.6154	170.3024206096
2015_1525	5545094.2711	7421928.1979	170.31841013359997
2015_1526	5545095.3918	7421928.8118	170.4061101336
2015_1527	5545096.5214	7421929.3121	170.62605630480002
2015_1528	5545097.6199	7421929.9732	168.52130491440002
2015_1529	5545098.768	7421930.4296	167.6234409144
2015_1530	5545099.9092	7421930.9732	167.4934178288
2015_1531	5545101.0606	7421931.388	167.5219818288
2015_1532	5545102.2582	7421931.7578	167.733364
2015_1533	5545103.4421	7421932.0955	167.813861524
2015_1534	5545104.6228	7421932.3643	167.8843458288
2015_1535	5545105.8799	7421932.5711	168.1306381336
2015_1536	5545107.0748	7421932.7113	168.194089524
2015_1537	5545108.3189	7421932.9633	168.3097332192
2015_1538	5545109.5479	7421933.0078	170.61122350480002
2015_1539	5545110.7842	7421933.1283	170.16281013359998
2015_1540	5545112.0738	7421933.1357	169.806064
2015_1541	5545113.3321	7421933.0418	169.560625524
2015_1542	5545114.5724	7421932.9551	169.47469999999998
2015_1543	5545115.8326	7421932.8101	169.9861409144
2015_1544	5545117.0397	7421932.7318	169.7459049144
2015_1545	5545118.3094	7421932.6987	169.75310000000002
2015_1546	5545119.4554	7421932.8237	169.7209692192
2015_1547	5545120.4721	7421933.077	169.6195923048
2015_1548	5545121.3813	7421933.4287	169.8302692192
2015_1549	5545122.1119	7421933.9204	170.1173409144
2015_1550	5545122.7855	7421934.4403	170.40194582880002
2015_1551	5545123.4722	7421935.0812	170.4925409144
2015_1552	5545124.257	7421935.6991	170.21971013360002
2015_1553	5545124.8957	7421936.4769	170.744189524
2015_1554	5545125.6819	7421937.2008	170.84705352400002
2015_1555	5545126.2495	7421938.0632	170.8850409144
2015_1556	5545127.0048	7421938.907	170.69041013359998
2015_1557	5545127.5417	7421939.8613	170.6523381336
2015_1558	5545128.1695	7421940.8165	170.7557381336
2015_1559	5545128.6342	7421941.8285	170.3285049144
2015_1560	5545129.0708	7421942.8507	169.51501013360001
2015_1561	5545129.4191	7421943.8766	168.7127101336
2015_1562	5545129.6663	7421944.9444	168.14749230479998
2015_1563	5545129.882	7421946.0189	167.85809721919998
2015_1564	5545130.0364	7421947.1481	168.3612563048
2015_1565	5545130.3114	7421948.2249	168.6415178288
2015_1566	5545130.4833	7421949.3541	168.75771013359997
2015_1567	5545130.899	7421950.4162	168.7463206096
2015_1568	5545131.1879	7421951.5277	168.7040332192
2015_1569	5545131.7234	7421952.5556	168.6549206096
2015_1570	5545132.2689	7421953.5855	168.5669409144
2015_1571	5545132.8491	7421954.6166	168.08505352400002
